Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,116.3,-93.0,0.0,top
C3,27p,C_0402_1005Metric,159.85,-102.21,0.0,top
C4,27p,C_0402_1005Metric,159.85,-96.9,180.0,top
C5,100n,C_0402_1005Metric,183.6,-89.6,45.0,top
C6,10u,C_0402_1005Metric,177.5,-115.7,-90.0,top
C7,10u,C_0402_1005Metric,176.6,-105.0,0.0,top
C8,100n,C_0402_1005Metric,174.2,-100.7,0.0,top
C9,100n,C_0402_1005Metric,162.83,-102.6,180.0,top
C10,1u,C_0402_1005Metric,174.0,-103.5,0.0,top
C11,100n,C_0402_1005Metric,167.34,-107.53,-90.0,top
C12,1u,C_0402_1005Metric,173.94,-104.535062,0.0,top
C13,100n,C_0402_1005Metric,173.9,-101.7,0.0,top
C14,100n,C_0402_1005Metric,171.9,-96.3,90.0,top
C15,100n,C_0402_1005Metric,167.4,-96.3,90.0,top
C16,100n,C_0402_1005Metric,171.1,-106.6,-90.0,top
C17,10u,C_0402_1005Metric,162.93,-101.63,180.0,top
D1,SCHOTTKY DIODE,D_0603_1608Metric,179.7,-114.4,90.0,top
D2,LED 0402 YELLOW,LED_0402_1005Metric,168.72,-109.3225,90.0,top
FLASH1,W25Q16,SOIC127P790X216-8N,181.0,-95.1,45.0,top
J1,Conn_01x04_Male,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,113.1,-90.9828,-90.0,top
J2,Conn_02x10_Odd_Even,PinHeader_2x10_P2.54mm_Vertical,137.16,-119.38,-90.0,top
J3,Conn_01x05_Male,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,144.284835,-120.129571,0.0,top
J4,Conn_01x04_Male,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,158.24843,-120.142,0.0,top
J5,ST01x05,TerminalBlock_MetzConnect_Type059_RT06305HBWC_1x05_P3.50mm_Horizontal,129.54,-82.55,180.0,top
J6,ST01x05,TerminalBlock_MetzConnect_Type059_RT06305HBWC_1x05_P3.50mm_Horizontal,147.32,-82.55,180.0,top
J7,ST01x05,TerminalBlock_MetzConnect_Type059_RT06305HBWC_1x05_P3.50mm_Horizontal,165.1,-82.55,180.0,top
J8,ST01x05,TerminalBlock_MetzConnect_Type059_RT06305HBWC_1x05_P3.50mm_Horizontal,182.88,-82.55,180.0,top
J9,Conn_01x04_Male,BOOM_SH_C145961_1x04_P1.00mm_Vertical,117.1,-108.0,90.0,top
J10,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,105.3,-104.1,0.0,top
J11,Conn_01x04_Male,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,170.212,-120.142,0.0,top
J12,Conn_01x04_Male,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,113.0,-105.0,-90.0,top
J13,Conn_01x04_Male,BOOM_SH_C145961_1x04_P1.00mm_Vertical,155.3,-101.6,90.0,top
